method,instance_idx,validity,proximity,plausibility,causal_validity_residual,immutability_violation
DiCE (genetic),0,0,0.0,0.12072821706533432,0.23287986355838344,0
DiCE (genetic),1,0,0.0,0.10555429756641388,0.5873427302275511,0
DiCE (genetic),2,0,0.0,0.28272518515586853,1.3581383934087607,0
DiCE (genetic),3,0,0.0,0.6201266646385193,0.3741192837444346,0
DiCE (genetic),4,0,0.0,0.3331834673881531,0.28351741721692136,0
DiCE (genetic),5,0,0.0,0.4810272753238678,1.0832038703755713,0
DiCE (genetic),6,1,0.0,0.7583909034729004,0.7371183228139273,0
DiCE (genetic),7,0,0.0,0.10967222601175308,1.1310505102436283,0
DiCE (genetic),8,0,0.0,0.4022514522075653,0.6878018684314924,0
DiCE (genetic),9,0,0.0,0.21181966364383698,0.23287986355838344,0
DiCE (genetic),10,0,0.0,0.4448942542076111,1.0232808543650798,0
DiCE (genetic),11,0,0.0,0.09461664408445358,0.39313744160536707,0
DiCE (genetic),12,0,0.0,0.15012110769748688,0.4273472821879061,0
DiCE (genetic),13,0,0.0,0.1784566193819046,0.5039358069024662,0
DiCE (genetic),14,0,0.0,0.4962683618068695,0.540486677573782,0
DiCE (genetic),15,1,0.0,0.19910775125026703,0.516763505254021,0
DiCE (genetic),16,0,0.0,0.2068995237350464,0.6170009724407074,0
DiCE (genetic),17,0,0.0,0.28540998697280884,0.5520097464821736,0
DiCE (genetic),18,0,0.0,0.18524174392223358,0.975002065044713,0
DiCE (genetic),19,0,0.0,0.4611007273197174,1.2064653357545587,0
Gradient (NN),0,0,0.746705174446106,0.07219396531581879,0.2786553148362863,0
Gradient (NN),1,0,1.4051874876022339,0.32499808073043823,0.5038450213816603,0
Gradient (NN),2,0,2.2232978343963623,0.6101749539375305,1.0405473820536764,0
Gradient (NN),3,0,1.714320182800293,0.3248405158519745,0.39531231916230314,0
Gradient (NN),4,0,1.961854100227356,0.7344747185707092,0.27366276924027844,0
Gradient (NN),5,0,1.4035961627960205,0.33638137578964233,0.8248514008121571,0
Gradient (NN),6,1,0.15996584296226501,0.680951714515686,0.7580738459305051,0
Gradient (NN),7,1,1.6421082019805908,0.2766941487789154,1.076386555835684,0
Gradient (NN),8,0,1.8790137767791748,0.8016467690467834,0.4319210062857337,0
Gradient (NN),9,0,0.7833162546157837,0.19554375112056732,0.28188209581278506,0
Gradient (NN),10,0,0.674368143081665,0.6421357989311218,1.0232808543650798,0
Gradient (NN),11,0,1.6370837688446045,0.25910577178001404,0.35340459556829684,0
Gradient (NN),12,0,0.5057512521743774,0.19421657919883728,0.4487262782123344,0
Gradient (NN),13,0,1.8314521312713623,0.7420701384544373,0.4262275509102566,0
Gradient (NN),14,0,1.0862983465194702,0.6987065076828003,0.3226075599141663,0
Gradient (NN),15,1,1.338325023651123,0.5039064884185791,0.7757655807769189,0
Gradient (NN),16,0,0.6876999735832214,0.19361639022827148,0.6541715438158782,0
Gradient (NN),17,0,0.30964168906211853,0.28405848145484924,0.4901667370084139,0
Gradient (NN),18,0,1.3460378646850586,0.0833880752325058,0.8579706605933992,0
Gradient (NN),19,0,2.09604811668396,0.3278561234474182,0.8726117345117483,0
Causal Gradient,0,0,0.746705174446106,0.319436639547348,0.2786553148362863,0
Causal Gradient,1,0,1.4051874876022339,0.18959543108940125,0.5038450213816603,0
Causal Gradient,2,0,2.2232978343963623,0.4049837589263916,1.0405473820536764,0
Causal Gradient,3,0,1.714320182800293,0.3440845310688019,0.39531231916230314,0
Causal Gradient,4,0,1.961854100227356,0.4897761642932892,0.27366276924027844,0
Causal Gradient,5,0,1.4035961627960205,0.6124424338340759,0.8248514008121571,0
Causal Gradient,6,1,0.15996584296226501,0.6297736167907715,0.7580738459305051,0
Causal Gradient,7,1,1.6421082019805908,0.15526852011680603,1.076386555835684,0
Causal Gradient,8,0,1.8790137767791748,0.23012568056583405,0.4319210062857337,0
Causal Gradient,9,0,0.7833162546157837,0.5650397539138794,0.28188209581278506,0
Causal Gradient,10,0,0.674368143081665,0.6576265096664429,1.0232808543650798,0
Causal Gradient,11,0,1.6370837688446045,0.15359272062778473,0.35340459556829684,0
Causal Gradient,12,0,0.5057512521743774,0.12610241770744324,0.4487262782123344,0
Causal Gradient,13,0,1.8314521312713623,0.47834643721580505,0.4262275509102566,0
Causal Gradient,14,0,1.0862983465194702,0.6346415877342224,0.3226075599141663,0
Causal Gradient,15,1,1.338325023651123,0.3818349242210388,0.7757655807769189,0
Causal Gradient,16,0,0.6876999735832214,0.1431877464056015,0.6541715438158782,0
Causal Gradient,17,0,0.30964168906211853,0.15247488021850586,0.4901667370084139,0
Causal Gradient,18,0,1.3460378646850586,0.16078044474124908,0.8579706605933992,0
Causal Gradient,19,0,2.09604811668396,0.5066649317741394,0.8726117345117483,0
Causal GA,0,0,2.4564731121063232,0.46320009231567383,0.032326669445964566,0
Causal GA,1,0,7.142959117889404,0.42004451155662537,0.0315313872475361,0
Causal GA,2,0,7.833797931671143,0.19275380671024323,0.08182059472448625,0
Causal GA,3,0,4.263613700866699,0.4493924677371979,0.031109163415711925,0
Causal GA,4,0,2.451969623565674,0.34840890765190125,0.09448104604535897,0
Causal GA,5,0,7.454085350036621,0.7786082625389099,0.03695549858814319,0
Causal GA,6,1,5.415294170379639,0.5802664160728455,0.03238178413401202,0
Causal GA,7,0,8.495047569274902,0.2817203104496002,0.03457871142616674,0
Causal GA,8,0,6.227823734283447,1.4034219980239868,0.03410221928289275,0
Causal GA,9,0,1.0103237628936768,0.3025299906730652,0.08797937878737597,0
Causal GA,10,0,9.360392570495605,0.36532238125801086,0.036349960835523124,0
Causal GA,11,0,2.2646007537841797,0.05083870887756348,0.08139554314919442,0
Causal GA,12,0,8.645285606384277,0.40531685948371887,0.03652387409019166,0
Causal GA,13,0,5.202965259552002,0.3779052197933197,0.04055098684028656,0
Causal GA,14,0,9.740848541259766,0.410653680562973,0.03944198018044246,0
Causal GA,15,1,7.617375373840332,0.438616007566452,0.03576063164177771,0
Causal GA,16,0,5.293921947479248,0.2177737057209015,0.03538637337243529,0
Causal GA,17,1,5.230068206787109,0.30734768509864807,0.08219210934785963,0
Causal GA,18,0,12.03519344329834,1.3375282287597656,0.030859368513048678,0
Causal GA,19,0,10.557211875915527,0.3966538906097412,0.053224136045273304,0
